City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,claveria,PH,86.14,clear sky,18.6074,121.0832,Lakay-Lakay Beach Resort
446,gbarnga,LR,72.32,overcast clouds,6.9956,-9.4722,Passion Hotel #2
447,saint-philippe,RE,81.99,scattered clouds,-21.3585,55.7679,Le Baril
461,mahina,PF,80.37,few clouds,-17.5065,-149.489,Motu Martin
462,lihue,US,72.99,overcast clouds,21.9789,-159.3672,Kauai Palms
467,bamboo flat,IN,88.88,overcast clouds,11.7,92.7167,Hotel Megapode Nest
472,baringo,KE,74.35,overcast clouds,0.4667,35.9667,Jericho Guest House
473,matthew town,BS,78.19,overcast clouds,20.95,-73.6667,Gaga’s Nest
480,neiafu,TO,79.07,overcast clouds,-18.65,-173.9833,Port Wine Guest House
482,chinde,NP,70.92,broken clouds,26.8418,88.0763,Kanyum cottage village
485,kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
490,bom jesus,BR,70.0,overcast clouds,-9.0744,-44.3586,Hotel Brasão
493,zhangye,CN,76.55,overcast clouds,38.9342,100.4517,Zhangye Hotel 张掖饭店
502,mount isa,AU,82.17,clear sky,-20.7333,139.5,Ibis Styles
503,massawa,ER,85.53,scattered clouds,15.6097,39.45,Seghen International Hotel فندق دولي سيغن
504,salem,IN,84.4,scattered clouds,11.65,78.1667,Lama Hotel
505,ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Hotel Hero
508,linxia chengguanzhen,CN,71.8,overcast clouds,35.6003,103.2064,如家酒店
516,mamuju,ID,85.98,light rain,-2.6748,118.8885,Hotel d'Maleo
521,namibe,AO,72.93,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
522,phang nga,TH,80.64,light rain,8.4509,98.5298,Hotel
523,porto novo,BJ,82.33,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
527,san pedro pochutla,MX,78.71,scattered clouds,15.7333,-96.4667,Olimpia
529,nago,JP,77.45,clear sky,26.5881,127.9761,グリーンリッチホテル
536,miandrivazo,MG,81.86,clear sky,-19.5167,45.4667,Baobab
537,aguachica,CO,75.06,few clouds,8.3084,-73.6166,Hotel la Floresta
541,inirida,CO,74.7,few clouds,3.8653,-67.9239,Residencias El Turista del Guainia
547,nieuw amsterdam,SR,78.03,overcast clouds,5.8833,-55.0833,Leonsberg Lodge
548,piton saint-leu,RE,80.67,clear sky,-21.2196,55.3151,Appartement Piton Saint Leu
549,port shepstone,ZA,70.41,overcast clouds,-30.7414,30.455,The Spot Backpackers'
554,baotou,CN,79.63,clear sky,40.6522,109.8222,Baotou Marriott Hotel
555,sweetwater,US,73.42,clear sky,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
563,celestun,MX,76.91,overcast clouds,20.8667,-90.4,Hotel Flamingo Playa
567,cantilan,PH,77.45,light rain,9.3336,125.9775,Karajaw Hotel
572,lagunas,PE,73.58,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
576,vila do maio,CV,72.39,clear sky,15.1333,-23.2167,Residencial Jardins De Maio
577,fuxin,CN,72.81,clear sky,42.0156,121.6589,凯文国际商务酒店
581,kroya,ID,85.23,overcast clouds,-7.6331,109.2461,Setia Hotel
585,santarem,BR,75.33,moderate rain,-2.4431,-54.7083,Prático Hotel
587,holualoa,US,75.04,few clouds,19.6228,-155.9522,Kona Hotel
591,dame-marie,HT,77.25,scattered clouds,18.5667,-74.4167,Lambi
600,saint-pierre,RE,82.08,clear sky,-21.3393,55.4781,Tropic Hotel
608,acajutla,SV,80.83,overcast clouds,13.5928,-89.8275,Hotel Lara
613,koulamoutou,GA,71.17,moderate rain,-1.1303,12.4736,Hôtel Biki
615,kismayo,SO,84.49,overcast clouds,-0.3582,42.5454,Kismayo Hotel
616,pokhara,NP,73.45,overcast clouds,28.2333,83.9833,Hotel Annapurna View Sarangkot
