City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
379,myanaung,MM,18.2833,95.3167,104.94,25,34,6.62,scattered clouds
380,flying fish cove,CX,-10.4217,105.6791,81.16,78,3,11.95,clear sky
381,dettelbach,DE,49.8,10.1833,53.28,86,92,8.43,overcast clouds
382,labuan,MY,5.2767,115.2417,89.96,70,20,5.01,few clouds
383,irymple,AU,-34.25,142.1667,63.09,76,98,1.01,light rain
384,pijijiapan,MX,15.7011,-93.23,79.27,84,94,2.35,overcast clouds
385,carlinville,US,39.2798,-89.8818,47.82,77,0,10.07,clear sky
386,hilo,US,19.7297,-155.09,75.27,88,100,6.91,overcast clouds
387,korla,CN,41.7597,86.1469,71.01,17,100,21.97,overcast clouds
388,mariehamn,AX,60.0973,19.9348,37.26,93,100,11.5,light rain
389,darnah,LY,32.767,22.6367,74.97,38,100,22.82,overcast clouds
390,vorgashor,RU,67.5833,63.95,34.16,92,100,22.21,overcast clouds
391,at taj,LY,24.2049,23.2857,82.45,11,0,11.43,clear sky
392,atakpame,TG,7.5333,1.1333,76.17,82,94,0.78,overcast clouds
393,howard springs,AU,-12.497,131.047,91.87,51,11,8.08,few clouds
394,pacific grove,US,36.6177,-121.9166,51.03,91,100,5.75,overcast clouds
395,silver city,US,32.7701,-108.2803,58.96,37,0,8.05,clear sky
396,sainte-menehould,FR,49.0833,4.9,48.09,89,2,5.44,clear sky
397,isangel,VU,-19.55,169.2667,79.7,85,23,10.54,few clouds
398,huarmey,PE,-10.0681,-78.1522,74.03,86,80,9.73,broken clouds
399,sechura,PE,-5.5569,-80.8222,77.32,74,96,13.53,overcast clouds
400,sao raimundo das mangabeiras,BR,-7.0219,-45.4811,73.17,95,100,2.24,overcast clouds
401,marka,SO,1.7159,44.7717,85.21,69,100,13.06,light rain
402,inarajan village,GU,13.2736,144.7484,85.17,82,100,19.77,overcast clouds
403,natal,BR,-5.795,-35.2094,74.05,94,20,4.61,few clouds
404,kristiansund,NO,63.1115,7.732,43.45,75,40,6.91,scattered clouds
405,akureyri,IS,65.6835,-18.0878,31.93,86,100,0.0,overcast clouds
406,cabugao,PH,17.7931,120.4578,89.46,58,4,8.7,clear sky
407,manokwari,ID,-0.8667,134.0833,80.17,80,100,2.53,overcast clouds
408,nanao,JP,37.05,136.9667,66.4,50,0,3.91,clear sky
409,arteche,PH,12.2645,125.4048,81.28,88,100,12.37,moderate rain
410,natchez,US,31.5604,-91.4032,52.02,87,0,0.0,clear sky
411,kampong chhnang,KH,12.1667,104.55,100.18,33,95,5.3,overcast clouds
412,mana,GF,5.6592,-53.7767,76.95,87,34,9.17,scattered clouds
413,yaren,NR,-0.5472,166.916,83.73,79,65,15.84,broken clouds
414,cestos city,LR,5.46,-9.5828,79.7,83,100,5.41,light rain
415,hirara,JP,24.8,125.2833,80.46,73,40,19.57,scattered clouds
416,nefteyugansk,RU,61.0998,72.6035,35.56,58,13,5.08,few clouds
417,dalandzadgad,MN,43.5708,104.425,71.33,12,45,13.67,scattered clouds
418,moab,US,38.5733,-109.5498,72.61,16,100,1.99,overcast clouds
419,akarp,SE,58.2333,13.65,41.13,85,100,9.46,overcast clouds
420,bagaha,IN,27.1,84.0833,91.49,30,27,1.88,scattered clouds
421,gadzhiyevo,RU,69.2551,33.3362,33.93,91,100,18.01,overcast clouds
422,aztec,US,36.8222,-107.9929,65.61,24,100,7.4,overcast clouds
423,vadso,NO,70.0744,29.7487,35.76,69,20,20.71,few clouds
424,santana,BR,-0.0583,-51.1817,77.18,100,75,3.44,broken clouds
425,lazaro cardenas,MX,17.9583,-102.2,72.99,75,0,4.29,clear sky
426,darwin,AU,-12.4611,130.8418,91.94,40,0,11.5,clear sky
427,nijar,ES,36.9665,-2.206,66.65,64,0,5.75,clear sky
428,north shore,NZ,-36.8,174.75,66.47,70,100,7.0,light rain
429,geispolsheim,FR,48.5166,7.6467,55.85,87,100,1.14,overcast clouds
430,charters towers,AU,-20.1,146.2667,79.63,54,100,11.16,overcast clouds
431,khabarovsk,RU,48.4808,135.0928,67.8,30,0,20.0,clear sky
432,nagqu,CN,31.5,92.0,33.21,92,100,12.08,light snow
433,beatrice,US,40.2681,-96.747,44.28,56,0,10.36,clear sky
434,kletskaya,RU,49.3145,43.0584,60.13,64,100,4.85,overcast clouds
435,bathsheba,BB,13.2167,-59.5167,79.41,89,75,8.05,light rain
436,raichur,IN,16.2,77.3667,89.98,44,96,12.37,overcast clouds
437,conde,BR,-7.2597,-34.9075,74.66,100,20,2.3,few clouds
438,puerto santa,PE,-8.9906,-78.6456,72.9,88,61,8.12,broken clouds
439,zuera,ES,41.8677,-0.7898,56.52,59,100,4.32,overcast clouds
440,coeur d'alene,US,47.6777,-116.7805,61.16,66,0,8.05,clear sky
441,karachi,PK,24.9056,67.0822,89.42,33,40,13.8,scattered clouds
442,claveria,PH,18.6074,121.0832,86.14,71,2,18.66,clear sky
443,qingdao,CN,36.0986,120.3719,60.55,65,100,17.92,overcast clouds
444,westport,US,41.1415,-73.3579,53.64,86,100,14.97,overcast clouds
445,poggiardo,IT,40.0542,18.3791,60.46,80,100,20.18,overcast clouds
446,gbarnga,LR,6.9956,-9.4722,72.32,98,100,1.34,overcast clouds
447,saint-philippe,RE,-21.3585,55.7679,81.99,75,32,3.67,scattered clouds
